Order ID,Operation,Page,Description,Status,Time
87,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:87

                        修改前明细:Martinix3
Coffeex1
Gongbao JiDingx1

                        修改后明细:Martinix1
Coffeex1
Gongbao JiDingx1

                        修改前账单金额: 201.0

                        修改后账单金额: 111.0

                        订单类型:外卖

                        None
",成功,2019-07-06T18:12:15.399457+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix3

                        修改后明细:Martinix3
Sushix1

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:15:18.579789+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix1

                        修改后明细:Martinix3
Sushix3

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:19:26.015571+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix3

                        修改后明细:Martinix3
Sushix1

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:20:23.774524+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix1

                        修改后明细:Martinix3
Sushix2

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:21:18.130860+02:00
87,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:87

                        修改前明细:Martinix1
Coffeex1
Gongbao JiDingx1

                        修改后明细:Martinix1
Coffeex1

                        修改前账单金额: 111.0

                        修改后账单金额: 78.0

                        订单类型:外卖

                        None
",成功,2019-07-06T18:21:49.459555+02:00
87,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:87

                        修改前明细:Martinix1
Coffeex1

                        修改后明细:Martinix1

                        修改前账单金额: 78.0

                        修改后账单金额: 45.0

                        订单类型:外卖

                        None
",成功,2019-07-06T18:25:02.723050+02:00
87,结账,外卖界面 > 订单结账,"结账订单号:87

                        支付方式:卡

                        账单金额: None

                        订单类型:外卖
",成功,2019-07-06T18:46:58.557929+02:00
89,结账,跑堂界面 > 桌子详情,"结账订单号:89

                                    桌子编号：A1-1
                                    支付方式:现金

                                    结账金额: 181.0

                                    订单类型:AlaCarte
",成功,2019-07-06T18:56:48.591580+02:00
93,结账,外卖界面 > 订单结账,"结账订单号:93

                        支付方式:卡

                        账单金额: None

                        订单类型:外卖
",成功,2019-07-06T19:57:18.351161+02:00
100,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:100

                        桌子编号：B1-5

                        修改前明细:Martinix3
Gongbao JiDingx2

                        修改后明细:Martinix4
Gongbao JiDingx2

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-08T22:50:29.065901+02:00
100,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:100

                        桌子编号：B1-5

                        修改前明细:Martinix4
Gongbao JiDingx2

                        修改后明细:Martinix3
Gongbao JiDingx2

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-08T22:50:39.025701+02:00
99,订单取消,跑堂界面 > 订单管理 > 取消,"
                            取消订单号:99

                            桌子编号：A1-3

                            账单金额: 135.0

                            订单类型:AlaCarte

                            None
",成功,2019-07-08T22:50:53.937256+02:00
100,结账,跑堂界面 > 桌子详情,"结账订单号:100

                                    桌子编号：B1-5
                                    支付方式:卡

                                    结账金额: 201.0

                                    订单类型:AlaCarte
",成功,2019-07-08T23:35:27.118380+02:00
101,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:101

                        桌子编号：B1-5

                        修改前明细:Gongbao JiDingx3
Sushix1

                        修改后明细:Gongbao JiDingx3
Sushix2

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-09T17:34:39.552870+02:00
101,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:101

                        桌子编号：B1-5

                        修改前明细:Gongbao JiDingx3
Sushix2

                        修改后明细:Gongbao JiDingx3
Sushix2

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-09T17:36:26.744102+02:00
101,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:101

                        桌子编号：B1-5

                        修改前明细:Gongbao JiDingx3
Sushix2

                        修改后明细:Gongbao JiDingx3
Sushix1

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-09T17:36:34.417651+02:00
104,结账,跑堂界面 > 桌子详情,"结账订单号:104

                                    桌子编号：A1-1
                                    支付方式:现金

                                    结账金额: 135.0

                                    订单类型:AlaCarte
",成功,2019-07-11T23:15:00.094937+02:00
105,转台,后台 > 桌子管理 > 已点餐桌子 > 转台,"

                            订单号:105

                            原桌子：B1

                            新桌子:A1
'
                            ",成功,2019-07-11T23:15:28.344316+02:00
107,结账,跑堂界面 > 桌子详情,"结账订单号:107

                                    桌子编号：A1-1
                                    支付方式:现金

                                    结账金额: 234.0

                                    订单类型:AlaCarte
",成功,2019-07-12T22:55:36.670699+02:00
108,结账,跑堂界面 > 桌子详情,"结账订单号:108

                                    桌子编号：B1-1
                                    支付方式:卡

                                    结账金额: 279.0

                                    订单类型:AlaCarte
",成功,2019-07-12T22:55:41.618244+02:00
109,结账,跑堂界面 > 桌子详情,"结账订单号:109

                                    桌子编号：A1-22
                                    支付方式:卡

                                    结账金额: 267.0

                                    订单类型:AlaCarte
",成功,2019-07-13T13:03:11.808911+02:00
111,转台,后台 > 桌子管理 > 已点餐桌子 > 转台,"

                            订单号:111

                            原桌子：A1

                            新桌子:D1
'
                            ",成功,2019-07-13T20:57:55.943093+02:00
110,转台,后台 > 桌子管理 > 已点餐桌子 > 转台,"

                            订单号:110

                            原桌子：B1

                            新桌子:C1
'
                            ",成功,2019-07-13T21:04:57.895495+02:00
110,转台,后台 > 桌子管理 > 已点餐桌子 > 转台,"

                            订单号:110

                            原桌子：C1

                            新桌子:B1
'
                            ",成功,2019-07-13T21:05:46.641799+02:00
113,结账,跑堂界面 > 桌子详情,"结账订单号:113

                                    桌子编号：A1-22
                                    支付方式:卡

                                    结账金额: 99.0

                                    订单类型:AlaCarte
",成功,2019-07-15T20:53:43.409438+02:00
2,结账,跑堂界面 > 桌子详情,"结账订单号:2

                                    桌子编号：A1-22
                                    支付方式:卡

                                    结账金额: 70.5

                                    订单类型:AlaCarte
",成功,2019-07-18T00:56:07.092205+02:00
6,结账,跑堂界面 > 桌子详情,"结账订单号:6

                                    桌子编号：A1-5
                                    支付方式:现金

                                    结账金额: 75.0

                                    订单类型:AlaCarte
",成功,2019-07-20 19:31:23.887129+02:00
7,结账,跑堂界面 > 桌子详情,"结账订单号:7

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 89.0

                                    订单类型:AlaCarte
",成功,2019-07-21T20:38:41.085914+02:00
8,结账,跑堂界面 > 桌子详情,"结账订单号:8

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 69.0

                                    订单类型:AlaCarte
",成功,2019-07-21T20:38:48.852034+02:00
9,结账,跑堂界面 > 桌子详情,"结账订单号:9

                                    桌子编号：B1-5
                                    支付方式:现金

                                    结账金额: 50.5

                                    订单类型:AlaCarte
",成功,2019-07-21T21:46:38.954767+02:00
10,结账,跑堂界面 > 桌子详情,"结账订单号:10

                                    桌子编号：B1-5
                                    支付方式:现金

                                    结账金额: 154.0

                                    订单类型:AlaCarte
",成功,2019-07-21T21:46:43.909031+02:00
11,结账,跑堂界面 > 桌子详情,"结账订单号:11

                                    桌子编号：B1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-21T21:47:33.336934+02:00
12,结账,跑堂界面 > 桌子详情,"结账订单号:12

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 4.5

                                    订单类型:AlaCarte
",成功,2019-07-21T22:36:39.323726+02:00
13,结账,跑堂界面 > 桌子详情,"结账订单号:13

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 69.0

                                    订单类型:AlaCarte
",成功,2019-07-22T12:04:34.880731+02:00
14,结账,跑堂界面 > 桌子详情,"结账订单号:14

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 4.5

                                    订单类型:AlaCarte
",成功,2019-07-22T18:41:42.104035+02:00
15,结账,跑堂界面 > 桌子详情,"结账订单号:15

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 69.0

                                    订单类型:AlaCarte
",成功,2019-07-22T19:29:42.456411+02:00
16,结账,跑堂界面 > 桌子详情,"结账订单号:16

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 138.0

                                    订单类型:AlaCarte
",成功,2019-07-22T20:54:01.485034+02:00
17,结账,跑堂界面 > 桌子详情,"结账订单号:17

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 132.0

                                    订单类型:AlaCarte
",成功,2019-07-22T21:51:33.043234+02:00
18,结账,跑堂界面 > 桌子详情,"结账订单号:18

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-22T22:15:12.738040+02:00
19,结账,跑堂界面 > 桌子详情,"结账订单号:19

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 154.0

                                    订单类型:AlaCarte
",成功,2019-07-22T23:27:09.335301+02:00
20,结账,跑堂界面 > 桌子详情,"结账订单号:20

                                    桌子编号：A1-2
                                    支付方式:卡

                                    结账金额: 69.0

                                    订单类型:AlaCarte
",成功,2019-07-23T19:33:32.883533+02:00
21,结账,跑堂界面 > 桌子详情,"结账订单号:21

                                    桌子编号：A1-2
                                    支付方式:卡

                                    结账金额: 92.0

                                    订单类型:AlaCarte
",成功,2019-07-23T20:48:03.180318+02:00
22,结账,跑堂界面 > 桌子详情,"结账订单号:22

                                    桌子编号：A1-2
                                    支付方式:卡

                                    结账金额: 177.5

                                    订单类型:AlaCarte
",成功,2019-07-23T21:41:55.717374+02:00
23,结账,跑堂界面 > 桌子详情,"结账订单号:23

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-24T19:05:10.009928+02:00
24,结账,跑堂界面 > 桌子详情,"结账订单号:24

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 110.0

                                    订单类型:AlaCarte
",成功,2019-07-24T21:17:06.869892+02:00
25,结账,跑堂界面 > 桌子详情,"结账订单号:25

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-26T18:06:42.381950+02:00
26,结账,跑堂界面 > 桌子详情,"结账订单号:26

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 115.0

                                    订单类型:AlaCarte
",成功,2019-07-26T18:34:26.731380+02:00
27,结账,跑堂界面 > 桌子详情,"结账订单号:27

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 3.0

                                    订单类型:AlaCarte
",成功,2019-07-26T19:11:52.592566+02:00
28,结账,跑堂界面 > 桌子详情,"结账订单号:28

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 88.0

                                    订单类型:AlaCarte
",成功,2019-07-26T19:35:17.890219+02:00
29,结账,跑堂界面 > 桌子详情,"结账订单号:29

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 69.0

                                    订单类型:AlaCarte
",成功,2019-07-26T19:35:21.822652+02:00
31,结账,跑堂界面 > 桌子详情,"结账订单号:31

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-27T12:49:42.817712+02:00
32,结账,跑堂界面 > 桌子详情,"结账订单号:32

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-27T14:49:43.456496+02:00
33,结账,跑堂界面 > 桌子详情,"结账订单号:33

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 88.0

                                    订单类型:AlaCarte
",成功,2019-07-27T17:13:06.505757+02:00
34,结账,跑堂界面 > 桌子详情,"结账订单号:34

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 72.0

                                    订单类型:AlaCarte
",成功,2019-07-27T17:13:10.663253+02:00
35,结账,老板界面 > 桌子详情,"结账订单号:35

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-27T22:46:04.167886+02:00
36,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:36

                        桌子编号：A1-5

                        修改前明细:Sushix1

                        修改后明细:Sushix3

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-27 23:00:27.182519+02:00
36,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:36

                        桌子编号：A1-5

                        修改前明细:Sushix3

                        修改后明细:Sushix3

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-27 23:01:23.376531+02:00
36,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:36

                        桌子编号：A1-5

                        修改前明细:Sushix3

                        修改后明细:Sushix3

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-27 23:01:54.602675+02:00
36,结账,跑堂界面 > 桌子详情,"结账订单号:36

                                    桌子编号：A1-5
                                    支付方式:现金

                                    结账金额: 69.0

                                    订单类型:AlaCarte
",成功,2019-07-27T23:09:16.291389+02:00
37,结账,跑堂界面 > 桌子详情,"结账订单号:37

                                    桌子编号：A1-5
                                    支付方式:现金

                                    结账金额: 3.0

                                    订单类型:AlaCarte
",成功,2019-07-27T23:09:25.882961+02:00
39,结账,外卖界面 > 订单结账,"结账订单号:39

                        支付方式:卡

                        账单金额: None

                        订单类型:外卖
",成功,2019-07-28T17:57:33.787085+02:00
40,结账,外卖界面 > 订单结账,"结账订单号:40

                        支付方式:现金

                        账单金额: None

                        订单类型:外卖
",成功,2019-07-28T17:57:38.964338+02:00
41,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:41

                        修改前明细:Coffeex2

                        修改后明细:Coffeex3

                        修改前账单金额: 3.0

                        修改后账单金额: 4.5

                        订单类型:外卖

                        None
",成功,2019-07-28T18:19:55.778665+02:00
41,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:41

                        修改前明细:Coffeex3

                        修改后明细:Coffeex3

                        修改前账单金额: 4.5

                        修改后账单金额: 4.5

                        订单类型:外卖

                        None
",成功,2019-07-28T18:19:59.368916+02:00
41,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:41

                        修改前明细:Coffeex3

                        修改后明细:Coffeex5

                        修改前账单金额: 4.5

                        修改后账单金额: 7.5

                        订单类型:外卖

                        None
",成功,2019-07-28T18:23:26.255289+02:00
42,结账,跑堂界面 > 桌子详情,"结账订单号:42

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 66.0

                                    订单类型:AlaCarte
",成功,2019-07-29T19:48:09.289251+02:00
43,结账,跑堂界面 > 桌子详情,"结账订单号:43

                                    桌子编号：A1-5
                                    支付方式:卡

                                    结账金额: 4.5

                                    订单类型:AlaCarte
",成功,2019-07-29T20:03:05.361624+02:00
